order_number,order_date,item_name,quantity,product_price,total_products
16118,03-08-2019 20:25,King Prawn Balti,1,12.95,6
16118,03-08-2019 20:25,Mango Chutney,1,0.5,6
16117,03-08-2019 20:17,Plain Naan,1,2.6,7
16117,03-08-2019 20:17,Mushroom Rice,1,3.95,7
16117,03-08-2019 20:17,Vindaloo - Lamb,1,7.95,7
16117,03-08-2019 20:17,Lamb Tikka,1,4.95,7
16117,03-08-2019 20:17,Saag Paneer,1,5.95,7
16116,03-08-2019 20:09,Aloo Chaat,1,4.95,5
16115,03-08-2019 20:01,Plain Papadum,1,0.8,7
16115,03-08-2019 20:01,Red Sauce,1,0.5,7
16115,03-08-2019 20:01,Peshwari Naan,1,2.95,7
16114,03-08-2019 19:44,Special Fried Rice,2,3.95,2
16113,03-08-2019 19:42,Chicken Tikka Masala,1,8.95,5
16112,03-08-2019 19:41,Saag - Prawn,1,9.95,4
16111,03-08-2019 19:29,Pilau Rice,1,2.95,4
16111,03-08-2019 19:29,Peshwari Naan,1,2.95,4
16110,03-08-2019 19:28,Aloo Gobi,1,5.95,8
16110,03-08-2019 19:28,Plain Naan,1,2.6,8
16108,03-08-2019 19:25,Plain Papadum,8,0.8,15
16108,03-08-2019 19:25,Mango Chutney,2,0.5,15
16108,03-08-2019 19:25,Chicken Tikka (Main),1,8.95,15
16108,03-08-2019 19:25,Korma - Chicken,1,8.95,15
16108,03-08-2019 19:25,Plain Rice,1,2.95,15
16108,03-08-2019 19:25,Mushroom Rice,1,3.95,15
16106,03-08-2019 18:37,Chicken Tikka Masala,1,8.95,3
16106,03-08-2019 18:37,Meat Samosa,1,3.95,3
16105,03-08-2019 18:36,Mint Sauce,1,0.5,9
16105,03-08-2019 18:36,Keema Rice,1,3.95,9
16105,03-08-2019 18:36,Lamb Hari Mirch,1,9.95,9
16104,03-08-2019 18:36,Curry - Chicken,1,7.95,4
16103,03-08-2019 18:34,Mixed Starter,1,5.95,2
16102,03-08-2019 18:32,Chicken Tikka Biryani,1,10.95,4
16102,03-08-2019 18:32,Bhuna - Chicken Tikka,1,8.95,4
16101,03-08-2019 18:12,Bombay Aloo,1,5.95,3
16100,03-08-2019 18:00,Masala Sauce,1,3.95,9
16100,03-08-2019 18:00,Korma Sauce,1,3.95,9
16098,03-08-2019 17:57,Chicken Tikka Jalfrezi,1,8.95,6
16098,03-08-2019 17:57,Special Fried Rice,2,3.95,6
16098,03-08-2019 17:57,Aloo Gobi,1,5.95,6
16098,03-08-2019 17:57,Chicken Tikka Masala,1,8.95,6
16097,03-08-2019 17:52,Meat Samosa,1,3.95,9
16097,03-08-2019 17:52,Mixed Vegetable Curry,1,5.95,9
16097,03-08-2019 17:52,Dupiaza - Lamb,1,8.95,9
16097,03-08-2019 17:52,Lemon Rice,1,3.95,9
16097,03-08-2019 17:52,Pilau Rice,1,2.95,9
16097,03-08-2019 17:52,Onion Bhajee,1,3.95,9
16094,02-08-2019 20:23,Onion Bhajee,1,3.95,9
16094,02-08-2019 20:23,Keema Rice,1,3.95,9
16093,02-08-2019 20:18,Onion Bhajee,1,3.95,6
16093,02-08-2019 20:18,Korma - Chicken,1,8.95,6
16093,02-08-2019 20:18,Plain Naan,1,2.6,6
16092,02-08-2019 19:33,Pilau Rice,1,2.95,5
16091,02-08-2019 19:19,Lamb Mysore,1,9.95,5
16091,02-08-2019 19:19,Dhansak - Chicken,1,8.95,5
16091,02-08-2019 19:19,Chapati,1,1.95,5
16090,02-08-2019 19:14,Peshwari Naan,1,2.95,2
16089,02-08-2019 18:41,Onion Bhajee,1,3.95,21
16089,02-08-2019 18:41,Aloo Gobi,1,5.95,21
16089,02-08-2019 18:41,Korma - Chicken,1,8.95,21
16089,02-08-2019 18:41,Chicken Tikka Chilli Masala,1,8.95,21
16089,02-08-2019 18:41,Korma - King Prawn,1,12.95,21
16089,02-08-2019 18:41,Plain Rice,1,2.95,21
16089,02-08-2019 18:41,Mushroom Rice,2,3.95,21
16089,02-08-2019 18:41,Keema Naan,1,2.95,21
16089,02-08-2019 18:41,Spicy Papadum,2,0.8,21
16089,02-08-2019 18:41,Mango Chutney,2,0.5,21
16089,02-08-2019 18:41,Onion Chutney,6,0.5,21
16089,02-08-2019 18:41,Red Sauce,4,0.5,21
16088,02-08-2019 18:18,Madras - Chicken Tikka,1,7.95,7
16088,02-08-2019 18:18,Plain Naan,2,2.6,7
16087,02-08-2019 17:57,Plain Papadum,2,0.8,5
16087,02-08-2019 17:57,Spicy Papadum,1,0.8,5
16087,02-08-2019 17:57,Vindaloo Sauce,1,3.95,5
16086,02-08-2019 17:43,Onion Bhajee,1,3.95,8
16086,02-08-2019 17:43,Meat Samosa,1,3.95,8
16085,02-08-2019 17:26,Chicken Tikka Jalfrezi,1,8.95,7
16085,02-08-2019 17:26,Dupiaza - Chicken,1,8.95,7
16084,02-08-2019 14:11,Mushroom Rice,1,3.95,4
16083,02-08-2019 11:35,Tandoori Mixed Grill,1,11.95,15
16083,02-08-2019 11:35,Curry - Chicken,1,7.95,15
16083,02-08-2019 11:35,Plain Naan,4,2.6,15
16083,02-08-2019 11:35,Aloo Chaat,1,4.95,15
16083,02-08-2019 11:35,Chicken Shashlick,1,9.95,15
16083,02-08-2019 11:35,Vegetable Balti,1,9.95,15
16081,01-08-2019 19:51,Pilau Rice,1,2.95,9
16081,01-08-2019 19:51,Red Sauce,1,0.5,9
16081,01-08-2019 19:51,Mixed Starter,1,5.95,9
16080,01-08-2019 19:16,Garlic Naan,1,2.95,6
16078,01-08-2019 18:41,Lime Pickle,1,0.5,6
16078,01-08-2019 18:41,King Prawn Shaslick,1,12.95,6
16077,01-08-2019 18:21,Stuffed Paratha,1,3.95,3
16076,01-08-2019 18:02,Plain Naan,2,2.6,7
16076,01-08-2019 18:02,Aloo Gobi,1,5.95,7
16076,01-08-2019 18:02,Mango Chutney,1,0.5,7
16076,01-08-2019 18:02,Raitha,1,2.95,7
16075,01-08-2019 17:59,Madras - Chicken,1,7.95,4
16075,01-08-2019 17:59,Bottle Diet Coke,1,2.95,4
16074,01-08-2019 17:34,Mushroom Rice,1,3.95,4
16073,01-08-2019 13:33,Saag Dall,1,5.95,4
16071,31-07-2019 21:10,Bombay Aloo,1,5.95,4
16069,31-07-2019 20:35,Dhansak - Lamb,1,8.95,4
16069,31-07-2019 20:35,Korma - Chicken,1,8.95,4
16068,31-07-2019 20:11,Chicken Tikka Masala,2,8.95,4
16068,31-07-2019 20:11,Madras - Chicken Tikka,1,7.95,4
16068,31-07-2019 20:11,Onion Bhajee,2,3.95,4
16067,31-07-2019 20:05,Pilau Rice,1,2.95,4
16067,31-07-2019 20:05,Green Salad,1,2.95,4
16066,31-07-2019 19:54,Vegetable Biryani,1,9.95,7
16066,31-07-2019 19:54,Pilau Rice,2,2.95,7
16066,31-07-2019 19:54,Plain Papadum,1,0.8,7
16065,31-07-2019 19:35,Chicken Tikka Masala,1,8.95,11
16065,31-07-2019 19:35,Chicken Tikka (Main),1,8.95,11
16065,31-07-2019 19:35,Bombay Aloo,1,5.95,11
16065,31-07-2019 19:35,French Fries,1,3.95,11
16064,31-07-2019 19:31,Plain Papadum,4,0.8,5
16064,31-07-2019 19:31,Chicken Tikka Karahi,1,9.95,5
16064,31-07-2019 19:31,Plain Rice,2,2.95,5
16062,31-07-2019 19:05,Lemon Rice,1,3.95,5
16062,31-07-2019 19:05,Mushroom Rice,1,3.95,5
16062,31-07-2019 19:05,Lamb Sylhet,1,9.95,5
16061,31-07-2019 19:02,Spicy Papadum,2,0.8,5
16060,31-07-2019 18:58,Saag - Chicken,1,8.95,3
16055,30-07-2019 20:10,Garlic Naan,3,2.95,3
16054,30-07-2019 19:55,Tandoori Mixed Grill,1,11.95,3
16053,30-07-2019 18:43,Bhindi Bhajee,1,5.95,5
16053,30-07-2019 18:43,Dhansak Sauce,1,3.95,5
16052,30-07-2019 18:43,Baingan Hari Mirch,1,5.95,4
16051,30-07-2019 18:38,Spicy Papadum,1,0.8,4
16050,30-07-2019 18:33,Lime Pickle,1,0.5,12
16048,30-07-2019 18:01,Mango Chutney,2,0.5,6
16047,30-07-2019 17:35,Red Sauce,1,0.5,6
16030,28-07-2019 20:00,Mint Sauce,1,0.5,9
16020,28-07-2019 17:58,Mango Chutney,1,0.5,6
16020,28-07-2019 17:58,Mint Sauce,1,0.5,6
16019,28-07-2019 17:41,Mango Chutney,1,0.5,6
16011,27-07-2019 20:28,Mango Chutney,1,0.5,10
16011,27-07-2019 20:28,Mint Sauce,1,0.5,10
16007,27-07-2019 19:35,Red Sauce,1,0.5,9
16006,27-07-2019 19:35,Mint Sauce,1,0.5,5
16002,27-07-2019 18:56,Mango Chutney,1,0.5,10
15996,27-07-2019 18:11,Mango Chutney,1,0.5,8
15995,27-07-2019 18:01,Mint Sauce,1,0.5,10
15990,27-07-2019 16:55,Mango Chutney,1,0.5,13
15985,26-07-2019 20:42,Mint Sauce,1,0.5,6
15979,26-07-2019 19:42,Mango Chutney,1,0.5,6
15979,26-07-2019 19:42,Red Sauce,1,0.5,6
15978,26-07-2019 19:42,Mint Sauce,1,0.5,10
15977,26-07-2019 19:33,Mango Chutney,1,0.5,10
15977,26-07-2019 19:33,Mint Sauce,1,0.5,10
15973,26-07-2019 19:12,Mint Sauce,1,0.5,9
15973,26-07-2019 19:12,Red Sauce,1,0.5,9
15967,26-07-2019 18:32,Mango Chutney,1,0.5,7
15966,26-07-2019 18:14,Mango Chutney,1,0.5,7
15966,26-07-2019 18:14,Lime Pickle,1,0.5,7
15964,26-07-2019 17:46,Onion Chutney,1,0.5,11
15964,26-07-2019 17:46,Lime Pickle,1,0.5,11
15955,25-07-2019 19:51,Onion Chutney,1,0.5,6
15955,25-07-2019 19:51,Red Sauce,1,0.5,6
15954,25-07-2019 19:50,Mango Chutney,2,0.5,5
15951,25-07-2019 19:11,Mint Sauce,1,0.5,8
15945,24-07-2019 23:08,Mint Sauce,1,0.5,11
15945,24-07-2019 23:08,Onion Chutney,1,0.5,11
15934,23-07-2019 19:54,Mango Chutney,2,0.5,3
15915,21-07-2019 18:55,Mint Sauce,1,0.5,5
15906,21-07-2019 17:26,Onion Chutney,1,0.5,6
15896,20-07-2019 20:15,Mango Chutney,1,0.5,9
15892,20-07-2019 19:04,Mint Sauce,1,0.5,6
15890,20-07-2019 18:58,Mango Chutney,1,0.5,5
15884,20-07-2019 18:08,Mint Sauce,1,0.5,5
